Map1,Map2,Shuffle2,Computation,Shuffle1,Reduce1,Split,Synchronization,Reduce2,Communication,Number of nodes,Amount of data (MB)
15412901943, 317677331, 569479371, 16790424992, 1385357469, 1059704512, 3747351027, 17384115, 135644, 5702193557, 1, 264.0
8028536096, 211450917, 471798359, 9104238716, 924751404, 864096592, 3357650415, 22730480, 158478, 4660009912, 2, 264.0
5514397289, 217958315, 414160599, 6351678485, 679665287, 654395199, 3083034223, 38585394, 180224, 4130203051, 3, 264.0
4398606181, 158924255, 394063732, 4875337980, 673855622, 507967269, 3112333157, 65691716, 194980, 4162404985, 4, 264.0
3434035378, 450351874, 477613812, 4330857321, 595647591, 446357562, 2971820601, 55764230, 152877, 4003194859, 5, 264.0
2878754097, 550482750, 433456810, 3844806340, 468800626, 415440248, 2920422411, 59983449, 256387, 3637360183, 6, 264.0
2628436532, 469804766, 404494929, 3368608598, 456856783, 349539049, 2891430818, 60081698, 214325, 3650754692, 7, 264.0
2333966839, 504507794, 447026560, 2920087781, 420732406, 369448999, 2761046164, 100925820, 262597, 3189812532, 8, 264.0
2117982613, 589168647, 378359452, 2932878986, 424180250, 368093222, 2777647209, 81950856, 337965, 3354611781, 9, 264.0
1820565762, 440175754, 308676139, 2276937660, 393458401, 316377354, 2711347097, 82580464, 239689, 3123734746, 10, 264.0
1751610346, 570160626, 296054747, 2410704365, 355540528, 298337369, 2777968951, 78702728, 193578, 3282471036, 11, 264.0
1706058671, 459135079, 272391980, 2238231413, 357106155, 347480152, 2627847099, 91312781, 278221, 3043698112, 12, 264.0
1583924153, 456244003, 294255060, 2075201503, 349081806, 263035764, 2484505865, 132701530, 102444, 2737077225, 13, 264.0
1482743437, 308630010, 494940560, 1933704109, 371882314, 289888160, 2203900749, 100135610, 262648, 2623879803, 14, 264.0
1344850481, 373354116, 473649229, 1775618681, 338682285, 274475753, 2027731327, 110106234, 272416, 2482384229, 15, 264.0
1276713920, 323107578, 505543912, 1687755383, 353837656, 257307879, 1897991367, 123269288, 351305, 2171983659, 16, 264.0
1187882093, 301036689, 251372354, 1602001165, 326210967, 256236371, 1891203908, 142876628, 141895, 2132197788, 17, 264.0
1143582262, 445735441, 424069630, 1632241010, 345355184, 242823860, 1669370511, 149510758, 403847, 2071540963, 18, 264.0
1109520805, 576520838, 160670679, 1769854163, 324163249, 239501344, 1559291062, 142128059, 587944, 1701445179, 19, 264.0
754708400, 176801888, 157617561, 1056482719, 138793918, 138561329, 747636057, 34462791, 223833, 1021440379, 6, 66.0
1372598570, 230922711, 226767784, 1667802760, 208999018, 210080498, 1382975901, 96091649, 247750, 1771450284, 6, 132.0
2237415138, 370818445, 356701254, 2599315151, 316486530, 283482628, 2187507787, 32554874, 274999, 2806606039, 6, 198.00002
3632934360, 613478926, 526629874, 4178063390, 465450660, 417164777, 3557917820, 32475425, 135563, 4485438629, 6, 330.0
4093189309, 670925850, 619150493, 5062474037, 496521635, 448436111, 4364961877, 31003360, 210892, 5409829566, 6, 396.00003
4745192535, 710380479, 685700845, 5741073096, 519721797, 499977133, 4881529481, 30732150, 235328, 6057648688, 6, 462.0
5838288857, 999522946, 737241370, 6749835723, 600582636, 538636241, 5518693500, 31032755, 169639, 6728350782, 6, 528.0
6750915520, 905631780, 795228066, 7436451556, 647543503, 578026912, 6358635979, 34111136, 206752, 7653371221, 6, 594.0
7202105865, 991499067, 905282798, 8755682425, 699864282, 606695046, 7307344893, 33904481, 137091, 8904465406, 6, 660.0
4200161994, 187378184, 227662563, 4871224728, 592617491, 483526502, 985102233, 13536481, 152451, 1805387919, 1, 66.0
2719626929, 322183741, 125117122, 3410278368, 1887, 368360884, 887843118, 16507658, 165691, 924410405, 2, 66.0
1551194680, 100944654, 129972859, 1938875291, 351209769, 286652480, 815175115, 24443510, 154785, 1296357195, 3, 66.0
1321626932, 79669338, 105344251, 1622587964, 304170562, 221246882, 767598517, 42791528, 152229, 1177112651, 4, 66.0
1061383360, 216173852, 169331719, 1490681832, 288377613, 213026191, 703504614, 52789643, 189926, 965175180, 5, 66.0
895654887, 182415196, 145859456, 1260464253, 280613469, 182195985, 755655233, 75502897, 234728, 955652016, 7, 66.0
870397945, 159779898, 140544501, 1177239402, 305595225, 215187058, 725302118, 68934022, 273801, 1111815365, 8, 66.0
680038493, 136885278, 132168184, 1015346527, 245803202, 198325142, 705635124, 74108638, 236314, 1011105789, 9, 66.0
682566466, 299963169, 131256443, 936155433, 218138794, 194102642, 742726633, 98548258, 208552, 1007894595, 10, 66.0
605862721, 289706727, 263471131, 832099101, 230438364, 168792616, 758115384, 111428987, 113689, 1083909622, 11, 66.0
657383583, 122254963, 110754157, 870297173, 268280800, 142598418, 700340975, 89105176, 169459, 926251157, 12, 66.0
615781859, 147943285, 312816952, 840581853, 261352658, 126460052, 642016206, 104490749, 208243, 948548108, 13, 66.0
560348305, 119700397, 105235190, 820687533, 310924866, 160957044, 612767155, 111457201, 247371, 712125992, 14, 66.0
491531064, 182149043, 102645014, 792529764, 256065303, 118671063, 586580775, 119300484, 302015, 689232133, 15, 66.0
514627256, 255785424, 105545156, 834477890, 268798555, 130754670, 525573742, 118560624, 336309, 622991299, 16, 66.0
430487964, 253091024, 99537410, 715635313, 287691502, 154682799, 500487274, 120589256, 211936, 595438198, 17, 66.0
413428150, 139290393, 98001845, 654506525, 275809247, 150654813, 494089098, 133644744, 165940, 580591661, 18, 66.0
444855124, 249989066, 100768485, 649088716, 307106329, 118407999, 443943707, 150749721, 388819, 538330958, 19, 66.0
620216787, 75496948, 78632830, 830775720, 239946730, 134957263, 131809685, 13401724, 112339, 450407787, 1, 6.6
475659107, 60688506, 68225869, 620961456, 197586550, 104582063, 111553352, 16545864, 126336, 377367981, 2, 6.6
384036462, 42788561, 59731185, 581425786, 198468917, 154522887, 127492713, 33979221, 153316, 385692398, 3, 6.6
258277842, 58741903, 51654126, 483276926, 187637299, 178774088, 112535938, 42384062, 222705, 351827134, 4, 6.6
283737234, 20137640, 54415319, 418571101, 165205224, 114622870, 120727032, 66642983, 136121, 333927019, 5, 6.6
217737250, 57527012, 54384390, 389439415, 192120737, 154137438, 141547785, 49956635, 190138, 382760556, 6, 6.6
188545221, 68513548, 49785269, 403808814, 143222329, 146507724, 130799075, 79277800, 273639, 266296145, 7, 6.6
200536208, 70026807, 74656231, 312022037, 151408417, 61811285, 124331643, 130152970, 214836, 350396072, 8, 6.6
207524424, 65911063, 63483237, 371412890, 136877333, 103097046, 139532336, 98402012, 387381, 329473872, 9, 6.6
210334786, 61174941, 63936815, 315859490, 125804978, 52555433, 137773365, 93039183, 177621, 327428832, 10, 6.6
198079615, 68166806, 73026661, 304015480, 112872435, 58633890, 140031899, 104040597, 177993, 325946298, 11, 6.6
256367724, 107905570, 99925247, 405785622, 157113994, 106200764, 147857261, 150830015, 368065, 309077354, 12, 6.6
206850284, 107875185, 97423009, 332059542, 160567899, 80461016, 127554549, 149797181, 399558, 306731843, 13, 6.6
173971187, 110766774, 99497736, 343960030, 173679011, 100491086, 137518871, 172320499, 281025, 319141545, 14, 6.6
173338053, 113641060, 98176549, 284282268, 153190307, 73741275, 115462448, 169575480, 446108, 301384510, 15, 6.6
179632192, 144231944, 103229791, 397298661, 164329063, 75025024, 129019155, 162300341, 332232, 231887841, 16, 6.6
156903232, 113835334, 100460261, 267563007, 146767975, 40547504, 108942222, 206517745, 305531, 294825190, 17, 6.6
219564426, 116074286, 97857746, 365972305, 157857824, 48389276, 147804193, 165633127, 386335, 262796794, 18, 6.6
160430315, 117606196, 104843889, 288731837, 160059468, 77274143, 139683295, 164830918, 378638, 303433279, 19, 6.6
2174194354, 125277392, 195213328, 2588994135, 435203422, 289334186, 490738511, 13477796, 169036, 1121160327, 1, 33.0
1323747855, 106618514, 122180517, 1683037257, 289104154, 252561156, 439218135, 37684459, 134377, 850502463, 2, 33.0
1193807373, 101316733, 63794837, 1476559623, 145577016, 211581163, 400117177, 32022342, 142085, 606436544, 3, 33.0
735887874, 63282558, 62062604, 991420682, 269506269, 192214796, 397374720, 38865051, 130766, 728943487, 4, 33.0
585351091, 107300245, 70131693, 805300856, 239719931, 170259654, 396283583, 48390746, 281722, 693363686, 5, 33.0
604014742, 74507907, 64157429, 783746995, 263866664, 134197527, 402496314, 64080996, 271416, 579154642, 6, 33.0
491246725, 123804302, 73012805, 679252823, 249468348, 139969830, 391943758, 68752445, 269372, 710593484, 7, 33.0
426776975, 254531808, 68916324, 666568044, 220832727, 127593285, 395772711, 69531393, 203664, 654666933, 8, 33.0
481789222, 91225883, 67360314, 752758965, 217441943, 209237079, 379928344, 80166010, 449202, 654974575, 9, 33.0
493826747, 133242742, 101654857, 814200194, 220786665, 188249644, 400449862, 90324584, 279045, 671929822, 10, 33.0
443146472, 136514122, 61799040, 787471125, 215291344, 207631841, 390198240, 109039689, 213784, 529077095, 11, 33.0
489865131, 109492896, 98951268, 656888119, 233697376, 94952422, 354946971, 74457234, 229058, 572518796, 12, 33.0
392412231, 113145352, 99009511, 558949590, 269892456, 90453812, 342238196, 109860867, 295560, 431452339, 13, 33.0
396876251, 134743199, 258508199, 685154403, 270864740, 163388243, 321503365, 159426698, 233857, 691471499, 14, 33.0
369485576, 245490098, 112092407, 688918114, 248683311, 191145109, 313136170, 154321900, 298360, 405057327, 15, 33.0
354805060, 150392069, 224922460, 709344879, 278224335, 204083416, 288435310, 133287174, 425074, 459227108, 16, 33.0
415204366, 130267203, 103825732, 639096698, 263827726, 181514062, 275660029, 145938443, 268999, 415065487, 17, 33.0
341208907, 133984693, 100491712, 658230500, 271571192, 182994903, 259043736, 123627148, 401350, 424713316, 18, 33.0
525114884, 107944357, 227692283, 703348542, 134723461, 143978736, 263285323, 175486446, 414081, 366061506, 19, 33.0
14504267383, 314663567, 555857711, 15880382443, 1381906306, 1061275093, 3876480, 3442354066, 155928, 5380117999, 1, 247.5
7722793263, 198058124, 538655558, 8709421408, 1002878101, 801040881, 3399165, 3166654115, 157528, 4708187613, 2, 247.5
5776744407, 161296843, 434698553, 6415372135, 705272207, 581760430, 4932239, 2988676211, 195882, 4106920810, 3, 247.5
4248007280, 132924948, 420680566, 4741247078, 621573612, 501449779, 5266828, 2983123784, 152499, 3959800119, 4, 247.5
3313330773, 139478854, 482999959, 3788102976, 559489122, 440029721, 3334137, 2855736913, 249314, 3820372740, 5, 247.5
2820420745, 502661477, 494859669, 3233559665, 486689372, 396109431, 4212077, 2709673103, 195943, 3544449885, 6, 247.5
2593724929, 388497102, 400683728, 3238776548, 474269121, 343853108, 4755614, 2661150899, 222491, 3288309534, 7, 247.5
2288176498, 495049425, 418689832, 2957400503, 410017750, 348474163, 4589853, 2551511458, 186279, 2886079286, 8, 247.5
2019525693, 455262084, 451056672, 2598388791, 431550467, 307048314, 4986518, 2746971892, 333813, 3326453324, 9, 247.5
1761021528, 469583683, 271434876, 2402232047, 406678806, 326330197, 5107545, 2635505451, 283808, 3170356434, 10, 247.5
1628594380, 441923787, 388242463, 2187427718, 379749174, 284719809, 4358222, 2647786762, 261661, 3050551753, 11, 247.5
1620594799, 360532902, 435749168, 2160991112, 372298655, 330213059, 2643064, 2538163423, 196852, 2822749649, 12, 247.5
1464761826, 461346046, 333429711, 1955942613, 379922336, 275353614, 2439518, 2429883982, 177901, 2690148047, 13, 247.5
1403423956, 418939939, 299184867, 2050614193, 369136417, 282593366, 2711377, 2197207651, 328504, 2495727188, 14, 247.5
1321004214, 354030916, 262070273, 1741597171, 403100156, 257304840, 2620753, 1878051104, 242230, 2119341114, 15, 247.5
1185162026, 284962860, 197799029, 1600275134, 373801344, 248634695, 3010383, 1869033284, 339936, 2034769061, 16, 247.5
1201527430, 459313179, 208594427, 1694134902, 371673678, 254624705, 3084123, 1721397551, 255048, 1893986961, 17, 247.5
1389984956, 468239655, 283201151, 1776124995, 231152534, 232166457, 4207003, 1598740526, 262054, 1829582574, 18, 247.5
1134519054, 462136168, 220020888, 1604189841, 360107560, 225603909, 2769247, 1572118914, 473531, 1665071982, 19, 247.5
1126105528, 277053611, 288042380, 1382138193, 374237607, 237028988, 2766967, 1543249359, 280239, 1671739879, 20, 247.5
1027443208, 339583453, 399630048, 1437407332, 375903903, 216083351, 2849016, 1439185861, 473547, 1679732069, 21, 247.5
997364102, 383627068, 166652018, 1383856043, 387651243, 270747736, 2966713, 1368654899, 309321, 1520904092, 22, 247.5
982138577, 324999311, 164993154, 1364420906, 411771013, 173932937, 3064987, 1275250345, 309855, 1415951044, 23, 247.5
935007667, 252620212, 188109095, 1296497416, 485758776, 204034242, 9564374, 1248027495, 360419, 1390807749, 24, 247.5
994039259, 299151668, 363742594, 1299737495, 419538073, 202766553, 2593630, 1152264680, 246247, 1516009669, 25, 247.5
862804377, 493951288, 179665729, 1362288350, 389008030, 224210532, 5042564, 1117495036, 441282, 1286414853, 26, 247.5
865130167, 320578938, 180178357, 1203164183, 412434946, 184505621, 2735177, 1062851927, 558578, 1238761252, 27, 247.5
843978735, 205682846, 324818506, 1220906335, 456819754, 224882594, 2961713, 1034729898, 518148, 1357819060, 28, 247.5
846862832, 355652867, 182470697, 1288415280, 412622568, 184235517, 2797123, 965450398, 381080, 1128925051, 29, 247.5
794855163, 209081293, 269177617, 1106488863, 483398400, 195390221, 3159622, 991705242, 382547, 1166450447, 30, 247.5
810250285, 342146008, 187263912, 1110445091, 468635547, 163404594, 3371371, 956555355, 272482, 1125455861, 31, 247.5
914689379, 239335877, 310831016, 1180974321, 511884652, 179384598, 2608828, 935615916, 434620, 1119922100, 32, 247.5
814370100, 296487126, 428818820, 1030474293, 443288212, 137793321, 3723915, 895989009, 336940, 1299326109, 33, 247.5
760231488, 342475203, 225705737, 1105074027, 437912429, 140742789, 2995752, 974252955, 330229, 1177092434, 34, 247.5
772586741, 304761155, 235857637, 1065184822, 475224884, 139467407, 3266032, 882214404, 485019, 1113042295, 35, 247.5
727949783, 262701686, 366683727, 1162455005, 445703266, 206208251, 3359928, 867199517, 474114, 1233761440, 36, 247.5
733113595, 298029182, 411687083, 1057105213, 436312946, 132256513, 2737000, 862434921, 623398, 1265992555, 37, 247.5
733552240, 544812645, 245702495, 1241639003, 409716591, 169103211, 2766840, 822719372, 412705, 1052877936, 38, 247.5
719763672, 274154246, 252968407, 1026178798, 448944408, 166295778, 2944355, 796812990, 523926, 1048568404, 39, 247.5
6079478915, 229103818, 263502030, 6863574174, 738649788, 554837465, 1895260, 1491521340, 155974, 2493672948, 1, 99.0
3167129146, 158116970, 220516106, 3703698659, 495753506, 409339232, 2623679, 1268548564, 180894, 1984817676, 2, 99.0
2213118168, 99843407, 231284815, 2728815943, 399540292, 415769052, 44516840, 1191632675, 156648, 1747178194, 3, 99.0
1768855272, 104204663, 169090132, 2216421179, 414562928, 343196765, 3505164, 1130037675, 296354, 1665038410, 4, 99.0
1433872097, 188074718, 167478643, 1772155289, 319481477, 261433569, 5457978, 1116511724, 192238, 1432822202, 5, 99.0
1291123212, 155746614, 206457706, 1552432059, 328504672, 227087611, 3177554, 1050611723, 289978, 1486607694, 6, 99.0
1148434428, 249837589, 207067571, 1617883201, 319040050, 219451481, 2700933, 1046354640, 174633, 1403795141, 7, 99.0
1122774361, 235935890, 192769043, 1491249906, 300635656, 207659896, 5204138, 1044048998, 330441, 1211973577, 8, 99.0
941930507, 204438738, 198226640, 1268023731, 306843563, 214078787, 37776903, 1030985628, 244384, 1376422326, 9, 99.0
1290807833, 368596828, 161842823, 1618313175, 143996983, 220121981, 2753157, 1036581588, 252921, 1306588194, 10, 99.0
807359566, 219902881, 168735973, 1117195636, 287161787, 208854818, 3477924, 1081971026, 225865, 1409996860, 11, 99.0
766878094, 297861811, 129544559, 1117360827, 334397112, 171966776, 2404751, 988855601, 325718, 1248382587, 12, 99.0
732547958, 156106735, 144929942, 990553303, 413727114, 215435236, 2816928, 909365504, 214919, 1136278690, 13, 99.0
711940823, 405196698, 329941152, 1200792848, 401121552, 203085923, 2537246, 866201395, 298509, 1145672904, 14, 99.0
633935535, 325968858, 131846583, 965909858, 350015613, 193196329, 2515126, 778659879, 259296, 904589867, 15, 99.0
761534286, 143764781, 271009058, 967853588, 403287646, 135536616, 2683403, 762511455, 212555, 872420919, 16, 99.0
768744451, 152083323, 135726649, 971072459, 317153699, 172284829, 2851714, 695599192, 462792, 823672929, 17, 99.0
574986226, 157032865, 261527190, 803061069, 309813296, 138609680, 4191253, 688609973, 394014, 832740683, 18, 99.0
629724184, 1079128100, 136802532, 1483188346, 295883176, 154006198, 2802297, 642579239, 296604, 757937676, 19, 99.0
651809524, 263581978, 127983120, 877632371, 312524936, 127721316, 3011628, 636618228, 234937, 764603560, 20, 99.0
608468457, 294490062, 253927528, 905975093, 363682947, 112520483, 3312360, 594033013, 215724, 847961630, 21, 99.0
536969001, 270402352, 151234499, 780058102, 386237523, 126323358, 3134202, 550217545, 572922, 713033826, 22, 99.0
539298833, 285977323, 173829704, 785305860, 345715525, 112665674, 5914713, 541785255, 568729, 702728196, 23, 99.0
524007254, 686019973, 162368562, 1182685485, 341667358, 139701081, 2761275, 531677975, 221125, 660975943, 24, 99.0
481065595, 270396581, 336236966, 783870976, 344106707, 177637945, 2638853, 509692510, 365399, 841666149, 25, 99.0
483266719, 276370284, 180082631, 808978058, 332252884, 108747410, 2562719, 478984680, 485077, 651606894, 26, 99.0
617161586, 1074339754, 173442417, 1536058494, 361717892, 158300852, 2797065, 489265610, 385380, 662709308, 27, 99.0
578381544, 196284758, 183096852, 816289116, 334801074, 145234519, 3312005, 479575193, 297487, 650723497, 28, 99.0
876365286, 208778095, 267483201, 1110419614, 196151796, 135678565, 2970204, 443710687, 370343, 700443189, 29, 99.0
457560551, 272941607, 258417197, 736202551, 361266115, 137312216, 3040335, 443874213, 523861, 639734291, 30, 99.0
432047586, 257740208, 177256761, 750354051, 359007107, 102244481, 2619978, 442786440, 379032, 620578660, 31, 99.0
557621583, 467631031, 199289786, 881909007, 375378079, 123452499, 3539997, 416030683, 326388, 676603808, 32, 99.0
419900036, 275736816, 182258587, 721515953, 357079709, 109907924, 3454273, 398107709, 501899, 605383470, 33, 99.0
469457841, 269528185, 228850470, 731230925, 372948798, 95389491, 3188469, 444621921, 654011, 722834721, 34, 99.0
457985332, 283335339, 239528003, 780105113, 365186067, 127784963, 2632881, 413759589, 312624, 646553688, 35, 99.0
448592204, 235743928, 255190578, 700582589, 358109761, 142687114, 2726773, 387985177, 502192, 626015419, 36, 99.0
513775323, 284070781, 228063044, 794134606, 360071247, 89210434, 3235713, 373016960, 578391, 595846242, 37, 99.0
451133810, 255568393, 237370056, 695556375, 363583601, 126738567, 3155864, 408318057, 344072, 637760152, 38, 99.0
595183224, 273435616, 254148246, 735926134, 358643598, 125903006, 2841426, 367551660, 319466, 613988504, 39, 99.0
3096661118, 85233094, 173389751, 3501011121, 381362497, 318990147, 1467951, 764771879, 126316, 1319524045, 1, 49.5
1622154913, 49653154, 101880674, 1890678166, 253961087, 220612812, 2882091, 664107963, 150463, 1019948977, 2, 49.5
983971987, 33885756, 110668947, 1180773891, 187667362, 164702437, 2893174, 618048039, 136200, 915208938, 3, 49.5
758002315, 85586396, 113607483, 1006600872, 173801555, 162928788, 2718153, 596230690, 101143, 861389915, 4, 49.5
741301288, 144924195, 101638045, 1005296758, 136278569, 124110881, 2749038, 588024948, 197264, 723800973, 5, 49.5
578712399, 141985753, 102348372, 837112694, 123368994, 119868654, 3110668, 591466208, 244961, 817183704, 6, 49.5
546273091, 146229467, 122742793, 788881761, 118380944, 127769664, 2755073, 558133132, 198611, 780698329, 7, 49.5
402380589, 148691643, 126620237, 648979417, 112855885, 103954650, 2786427, 563552824, 227348, 798660845, 8, 49.5
419173702, 263495212, 110934947, 653060946, 114499982, 95146835, 2727977, 567546335, 235458, 782610624, 9, 49.5
401300223, 123632533, 89384424, 539417591, 100779381, 89994820, 2474241, 572640108, 293099, 762046021, 10, 49.5
397685165, 250738689, 75333362, 728507084, 96607398, 85237208, 2440286, 569105361, 308322, 714669586, 11, 49.5
408671682, 116027914, 111646669, 605417163, 137165385, 84646123, 2565129, 551185038, 210256, 784988735, 12, 49.5
388686802, 266558329, 123548000, 662345748, 140513813, 81161299, 2791688, 494481029, 174146, 749459035, 13, 49.5
391127587, 132504803, 114509995, 597756193, 134051684, 80603645, 2481452, 487509690, 266006, 599292185, 14, 49.5
404849656, 253185810, 116459080, 600984522, 134103599, 79334559, 2821813, 433443380, 300199, 544663695, 15, 49.5
361153217, 143940291, 122866633, 576331502, 132592092, 76489108, 2461082, 441935179, 198689, 552883568, 16, 49.5
408371757, 265710952, 120820729, 583355698, 134251643, 75223250, 2967906, 392722843, 324903, 511052020, 17, 49.5
327074763, 131763975, 123403012, 467684530, 133556684, 73058235, 2810836, 393549816, 251670, 512035336, 18, 49.5
319385838, 139780613, 127786608, 486560052, 130106093, 70758162, 3178208, 394459227, 310622, 514597786, 19, 49.5
303731053, 139368793, 237320891, 507878922, 135397577, 70789726, 2784647, 354599873, 344561, 578607208, 20, 49.5
327300843, 252908394, 239526882, 575557650, 136667618, 70330898, 2745723, 327826878, 294665, 565380043, 21, 49.5
319711993, 258439274, 133391301, 575693072, 129981004, 70571855, 2760546, 345812995, 622176, 458386082, 22, 49.5
346490391, 180148487, 168930598, 555054695, 177520137, 70007528, 2527533, 308402606, 388176, 457877555, 23, 49.5
352720912, 186937919, 270108286, 557943749, 169660524, 68997868, 2721397, 316741058, 419751, 571571459, 24, 49.5
321061618, 186337751, 176745812, 532448509, 173425885, 64870243, 2783093, 291853867, 572649, 453614415, 25, 49.5
329997133, 189575456, 180947909, 532998591, 172128729, 65553028, 2582080, 305106214, 458711, 486057139, 26, 49.5
329027605, 192814841, 177653244, 526731194, 171934196, 64997136, 2655924, 318517050, 440668, 485339411, 27, 49.5
314039587, 339988843, 229906169, 644520517, 175118503, 67249873, 2674505, 289636382, 475694, 518723637, 28, 49.5
323248980, 200996926, 181128190, 550000866, 175559856, 63432695, 2823619, 270385824, 333466, 436085606, 29, 49.5
332314114, 200119267, 187509501, 551890998, 174310048, 63068523, 2676770, 255022863, 370616, 398211075, 30, 49.5
312138880, 205317717, 189904910, 526748296, 169758221, 67875873, 2542390, 253828447, 367293, 443734490, 31, 49.5
335454839, 245531929, 202761684, 562455684, 163557780, 62531404, 2621232, 254060028, 463396, 453089938, 32, 49.5
322459891, 224941398, 222820043, 528347781, 169133259, 61105925, 2438993, 250169683, 380984, 454171509, 33, 49.5
340446853, 235822014, 221434159, 570783336, 207810364, 60214094, 2796470, 281530412, 421126, 497066171, 34, 49.5
352947345, 230949964, 224246741, 595687952, 211598718, 57910085, 2267801, 253477119, 491971, 467959098, 35, 49.5
339967963, 242016700, 215536202, 646047810, 212888021, 95112691, 2730127, 311411723, 424429, 508472680, 36, 49.5
338644785, 242100213, 235920109, 578204957, 217143415, 56153218, 2718995, 259582100, 568724, 480486345, 37, 49.5
356823595, 243269567, 240799088, 598191597, 219183726, 59111733, 2512980, 243379391, 318678, 464878763, 38, 49.5
359639006, 260227514, 239348077, 677247605, 217075836, 69046581, 2355746, 245109417, 446305, 476587134, 39, 49.5
670210422, 26107812, 60972861, 778334129, 1555, 81891807, 1232495, 175519579, 124128, 236494411, 1, 9.9
267390802, 17685889, 53419696, 365973737, 96702880, 84880480, 1735813, 168401623, 111330, 315970939, 2, 9.9
297755311, 20837748, 58803263, 388130741, 98670890, 73192759, 2327836, 163655765, 209418, 300257040, 3, 9.9
165347807, 61917836, 47984346, 260176437, 77696541, 67422629, 1888090, 168260980, 155652, 258581288, 4, 9.9
141717345, 64745265, 50814989, 259473044, 73231744, 62234447, 2288265, 183486853, 173531, 298722316, 5, 9.9
197903338, 62907425, 57494001, 313032611, 72582905, 58093937, 2662994, 156931604, 255902, 285611189, 6, 9.9
168506122, 63696546, 54444056, 256826118, 67977628, 54338680, 2703376, 171743361, 212397, 285779693, 7, 9.9
143114499, 66011431, 54083417, 254949669, 65071972, 50998581, 3062603, 191292949, 314150, 254927153, 8, 9.9
131409685, 78526321, 70544414, 250699643, 64835292, 49827229, 2158734, 177449065, 243693, 311472355, 9, 9.9
132599280, 68427924, 66094587, 246916565, 70112529, 47921132, 2045021, 187768067, 246776, 323976964, 10, 9.9
150826643, 239399827, 78113785, 376695001, 96622235, 46328648, 2355736, 182077023, 152113, 272850751, 11, 9.9
178747914, 120982221, 106731416, 338891315, 103934365, 45457448, 1968186, 156103032, 352103, 262783095, 12, 9.9
168050215, 127626813, 115077044, 315087723, 109484365, 44512094, 2079810, 181727684, 291251, 294795754, 13, 9.9
168520545, 130759330, 119837688, 340214400, 104800845, 42199050, 2153037, 162503431, 312343, 281512412, 14, 9.9
180868307, 124682142, 111624174, 303206130, 108177697, 40237275, 2713293, 166520053, 280021, 267152742, 15, 9.9
175890651, 133830793, 128013855, 321316827, 109471031, 40309426, 2169489, 151512850, 298020, 274021229, 16, 9.9
182420782, 125463275, 125304367, 342627439, 110291531, 39081118, 2176951, 148981218, 333247, 268990607, 17, 9.9
181978617, 146204211, 130909912, 355027208, 116278591, 38276689, 2711065, 154719816, 332106, 301906401, 18, 9.9
182027977, 149408157, 142362006, 363104937, 109838372, 37867498, 2049837, 158588969, 404595, 306613759, 19, 9.9
176025991, 135404228, 126211515, 338084716, 109503790, 35666565, 1985238, 154836951, 464785, 288852319, 20, 9.9
172359421, 131829846, 130145124, 328362260, 110265314, 48221508, 2388399, 127724743, 518913, 285066586, 21, 9.9
188218624, 154154917, 133093187, 330012586, 2764, 32503265, 1610927, 162170245, 310863, 272954472, 22, 9.9
222028466, 177004812, 168213309, 390756582, 150160106, 31614255, 2180385, 129634452, 455842, 356772523, 23, 9.9
232481904, 174666459, 171893148, 405662507, 159971868, 30748627, 1579180, 140933077, 272351, 358223063, 24, 9.9
209652158, 178840149, 174072099, 383194673, 152077557, 30220469, 2235033, 133445566, 306777, 304614069, 25, 9.9
215451410, 182699009, 171799669, 389782543, 158490895, 29420623, 1990798, 153976676, 609731, 322293761, 26, 9.9
217708603, 180989181, 174178841, 385013500, 161522028, 30530940, 2355176, 132810630, 348954, 306991442, 27, 9.9
210842279, 193905676, 173507928, 405324211, 157915960, 28385875, 2099261, 141172607, 428223, 303450750, 28, 9.9
210155054, 192947451, 182078377, 403094721, 155993875, 27939368, 1486938, 143545551, 433759, 325623273, 29, 9.9
219670245, 195293805, 175853679, 431117614, 164014987, 28954005, 1788327, 138860349, 439689, 294606904, 30, 9.9
223824790, 211301911, 195415836, 452108228, 160133620, 36911753, 1539772, 166733621, 459741, 331906036, 31, 9.9
234354895, 193658270, 182984927, 449178485, 148919124, 27555750, 1654954, 152513569, 368404, 333374066, 32, 9.9
232326754, 222939992, 202953238, 452127000, 3134, 26275710, 1820419, 157620413, 516693, 358636383, 33, 9.9
263374718, 236443492, 226051455, 484525141, 194891932, 24937077, 1314796, 162623233, 458062, 437321200, 34, 9.9
252976295, 243284807, 232791890, 491025355, 200400521, 28243538, 2016864, 157582113, 397185, 451035225, 35, 9.9
258018848, 245741667, 234528130, 498254961, 207884303, 25607181, 1486255, 134371653, 351713, 463734714, 36, 9.9
257776452, 246277584, 237189755, 501084862, 200355176, 25007684, 1500006, 140928673, 408800, 450847704, 37, 9.9
265064502, 229482242, 211157352, 486590644, 208671839, 27430318, 1360506, 141443141, 569346, 456422547, 38, 9.9
271069028, 263797090, 253587293, 522820181, 202744395, 32651948, 1382649, 130353274, 526936, 379030421, 39, 9.9
